"id";"tag";"geom";"data_source"
"351";"playground";"POINT (37.6891304 55.8804152)";"OpenStreetMap"
"352";"playground";"POINT (37.7001333 55.8857029)";"OpenStreetMap"
"353";"playground";"POINT (37.7003204 55.8863849)";"OpenStreetMap"
"354";"playground";"POINT (37.6967697 55.8775338)";"OpenStreetMap"
"355";"playground";"POINT (37.5652827 55.7967016)";"OpenStreetMap"
"356";"playground";"POINT (37.5646239 55.7968078)";"OpenStreetMap"
"357";"playground";"POINT (37.7236582 55.7815142)";"OpenStreetMap"
"358";"playground";"POINT (37.6373552 55.7693781)";"OpenStreetMap"
"359";"playground";"POINT (37.6377508 55.7697054)";"OpenStreetMap"
"360";"playground";"POINT (38.1963484 55.8526044)";"OpenStreetMap"
"361";"playground";"POINT (37.5666647 55.4060026)";"OpenStreetMap"
"362";"playground";"POINT (37.6218893 55.9126707)";"OpenStreetMap"
"363";"playground";"POINT (38.056669 55.6100324)";"OpenStreetMap"
"364";"playground";"POINT (38.0564661 55.6104533)";"OpenStreetMap"
"365";"sports_centre";"POINT (38.9710651 55.7959365)";"OpenStreetMap"
"366";"playground";"POINT (37.4597017 55.7872554)";"OpenStreetMap"
"367";"playground";"POINT (38.0559192 55.6091658)";"OpenStreetMap"
"368";"swimming_pool";"POINT (38.1081163 55.5379471)";"OpenStreetMap"
"369";"sauna";"POINT (37.6251645 55.873642)";"OpenStreetMap"
"370";"playground";"POINT (38.0473818 55.6297188)";"OpenStreetMap"
"371";"playground";"POINT (38.0499802 55.6298084)";"OpenStreetMap"
"372";"playground";"POINT (38.0501822 55.6304542)";"OpenStreetMap"
"373";"playground";"POINT (38.0480699 55.6285812)";"OpenStreetMap"
"374";"playground";"POINT (38.0510644 55.6289012)";"OpenStreetMap"
"375";"stadium";"POINT (37.7460364 55.9093581)";"OpenStreetMap"
"376";"playground";"POINT (38.0524895 55.6312765)";"OpenStreetMap"
"377";"playground";"POINT (37.7233739 55.7812035)";"OpenStreetMap"
