Address,Id,IsLocked,Geom,TotalPlaces,TotalOrdinaryPlaces,TotalElectricPlaces,FreeOrdinaryPlaces,FreeElectricPlaces
"Ленинский пр-т, д.15А",0316,False,POINT (37.6002317 55.7210015),18,18,0,2,0
"ул. Шаболовка, д.32",0340,False,POINT (37.6083998 55.7187566),24,24,0,7,0
"Ленинградский пр-т, д.33, к.1",0513,False,POINT (37.56091 55.78654),15,15,0,7,0
"Ленинский пр-т, д.27",0346,False,POINT (37.5931 55.71599),12,12,0,6,0
"ул. Шверника, д.13, к.1",0347,True,POINT (37.5890604 55.6914923),12,12,0,0,0
"ул. Мосфильмовская, д.17/25",0348,False,POINT (37.5159465 55.7155927),12,12,0,5,0
"Ломоносовский пр-т, д.43/40",0354,False,POINT (37.5072476 55.7105268),12,12,0,6,0
"Ломоносовский пр-т, д.2/62, стр.8",0361,False,POINT (37.5521608 55.6846569),12,12,0,6,0
"ул. Велозаводская, д.2",0613,False,POINT (37.6637295 55.7170746),15,15,0,3,0
"Хоромный туп, д.2/6 (ст. м. Красные Ворота)",0130,False,POINT (37.649046 55.768248),24,24,0,10,0
