code,arrivals,average,departures,dayscount_total,geom,slots,name,unique_clients,unique_rides,roundtrips
376,841,8,761,94,POINT (37.582171 55.645488),12,"Балаклавский пр-т, д.34, корп.1",391,51,39
377,2888,18,2705,152,POINT (37.604772 55.639828),12,ст.м.Чертановская,1143,42,49
378,2243,14,2166,150,POINT (37.594467 55.636711),12,"мкрн. Чертаново Северное, д.4, корп.401",861,40,51
379,1874,12,1840,150,POINT (37.541047 55.642389),12,"ул. Введенского, д.13А",582,32,41
380,1601,13,1627,126,POINT (37.500151 55.653506),12,"ул. Миклухо-Маклая, д.6",592,36,39
381,1237,13,1280,97,POINT (37.512929 55.648343),12,"ул. Академика Волгина, д.21",399,31,14
382,2322,19,2781,146,POINT (37.526619 55.641944),12,"ул. Профсоюзная, д.91 (ст.м.Беляево)",1066,38,26
383,3229,21,3118,150,POINT (37.542572 55.637608),12,"ул. Миклухо-Маклая, д.44 (вход в Битцевский парк)",1361,44,53
384,1139,11,1106,101,POINT (37.530773 55.634258),12,"ул. Введенского, д.32",313,28,35
385,1208,10,1149,115,POINT (37.495132 55.643985),12,"ул. Островитянова, д.7",440,38,46
386,982,12,1145,93,POINT (37.519916 55.634468),12,"ул. Островитянова, д.29/120",526,46,18
387,1211,11,1353,124,POINT (37.520416 55.63376),12,"ул. Профсоюзная, д.109, Вс.1 (ст.м.Коньково)",631,47,36
388,1318,13,1288,96,POINT (37.619266 55.645199),12,"Варшавское ш., д.100",493,38,62
389,1235,13,1244,96,POINT (37.495249 55.655932),12,"ул. 26-ти Бакинских Комиссаров, д.2Б",507,41,24
390,1332,13,1306,98,POINT (37.518875 55.652432),12,"ул. Академика Волгина, д.6",410,31,20
391,1333,13,1278,97,POINT (37.606796 55.663717),12,"Нахимовский пр-т, д.11",538,42,20
392,487,5,428,81,POINT (37.603679 55.675312),12,"ул. Ремизова, д.15",179,42,31
393,1965,20,1927,98,POINT (37.571113 55.674873),12,"Нахимовский пр-т, д.45, стр.1",665,35,17
394,2003,23,1985,86,POINT (37.562854 55.67741),12,"ул. Профсоюзная, д.21/51",875,44,12
395,2277,23,2243,98,POINT (37.582777 55.684571),12,"ул. Дмитрия Ульянова, д.32А",727,32,27
396,1156,11,1049,96,POINT (37.595485 55.679562),12,"ул. Дмитрия Ульянова, д.46",412,39,19
397,3432,38,3551,94,POINT (37.574462 55.688201),12,"пр-т 60-летия Октября, д. 31/18, к.1, стр.2",1212,34,16
398,958,14,950,69,POINT (37.618324 55.653102),12,"Чонгарский б-р, д.1, к.1",360,38,20
399,535,8,522,67,POINT (37.605651 55.653751),12,"Симферопольский б-р, д.15, к.5",220,42,26
400,2267,17,2553,153,POINT (37.596383 55.772581),12,"ул. 3-я Тверская-Ямская, д.20, стр.1",852,33,19
401,2256,16,2500,153,POINT (37.590094 55.775131),12,"ул. 2-я Тверская-Ямская, д.54",1014,41,23
402,4829,34,5208,153,POINT (37.586711 55.777569),12,"ул. Лесная, д.6",1749,34,19
403,2837,20,3110,153,POINT (37.599736 55.774292),12,"ул. Фадеева, д.4",862,28,25
405,3526,27,3594,131,POINT (37.592347 55.781335),12,"ул. Новолесная, д.1/49",900,25,25
