code;arrivals;average;departures;dayscount_total;geom;slots;name;unique_clients;unique_rides;roundtrips;arr_p_dep;dep_per_days;av_p_dep__per_days
235;2376;16;2412;152;POINT (37.576593 55.761028);12;ул. Большая Грузинская, д.1, стр.2;1204;50;23;4788;15,86842105;31,5
236;2166;20;2235;113;POINT (37.572071 55.765613);12;ул. Малая Грузинская, д.19/2;462;21;21;4401;19,77876106;38,94690265
237;1752;15;1862;128;POINT (37.565552 55.769445);12;ул. Пресненский Вал, д.24;530;28;25;3614;14,546875;28,234375
238;3215;25;3869;153;POINT (37.561297 55.763789);12;ул. 1905 года, д.4, стр.2;1204;31;17;7084;25,2875817;46,30065359
239;2569;15;2320;150;POINT (37.57463 55.75175);12;Смоленская наб., д.12;1552;67;21;4889;15,46666667;32,59333333
240;4459;26;4047;153;POINT (37.575712 55.746086);20;Смоленская наб., д.2;2215;55;24;8506;26,45098039;55,59477124
241;3104;22;3323;152;POINT (37.572706 55.740347);12;7-й Ростовский пер., д.11;1615;49;20;6427;21,86184211;42,28289474
242;3420;20;3025;152;POINT (37.570504 55.739349);12;Саввинская наб., д.3;1720;57;21;6445;19,90131579;42,40131579
243;3622;22;3330;151;POINT (37.56828 55.736802);12;Саввинская наб., д.9;1982;60;23;6952;22,05298013;46,0397351
244;2479;17;2567;153;POINT (37.576753 55.740264);12;ул. Плющиха, д.39;653;25;21;5046;16,77777778;32,98039216
245;2219;29;2005;70;POINT (37.56924 55.742321);18;пл. Европы, д.2 (у пешеходного моста);1077;54;20;4224;28,64285714;60,34285714
248;1071;11;897;83;POINT (37.557608 55.746254);12;ул. Б. Дорогомиловская, д.7/2;494;55;27;1968;10,80722892;23,71084337
250;1004;12;1062;92;POINT (37.539165 55.747509);12;Москва-Сити (башня Империя);494;47;13;2066;11,54347826;22,45652174
251;1169;13;1129;84;POINT (37.540904 55.751911);12;1-й Красногвардейский пр-д, д.13, стр.1;456;40;12;2298;13,44047619;27,35714286
252;1179;17;1210;70;POINT (37.586429 55.734264);8;ул. Льва Толстого (напротив д.21);339;28;13;2389;17,28571429;34,12857143
300;2002;14;1840;128;POINT (37.507555 55.703026);12;Мичуринский пр-т, д.12, корп.1;658;36;38;3842;14,375;30,015625
301;2558;18;2713;153;POINT (37.545636 55.700864);12;пр-т Вернадского, ост. Университетский пр-т;1583;58;25;5271;17,73202614;34,45098039
302;2639;21;2706;126;POINT (37.5306 55.68977);12;пр-т Вернадского, д.11/19;1107;41;22;5345;21,47619048;42,42063492
303;3143;25;3179;125;POINT (37.50458 55.67654);12;пр-т Вернадского, д.14;1294;41;35;6322;25,432;50,576
307;1255;16;1473;94;POINT (37.577945 55.701175);12;ул. Вавилова, д.24;524;36;12;2728;15,67021277;29,0212766
308;1093;20;1201;59;POINT (37.579738 55.701417);12;ул. Вавилова, д.17;413;34;10;2294;20,3559322;38,88135593
309;1342;14;1304;94;POINT (37.571292 55.665069);12;ул. Болотниковская (парк им. 70-ти летия Победы);524;40;33;2646;13,87234043;28,14893617
310;1866;11;1695;152;POINT (37.578142 55.707025);12;Ленинский пр-т, д.34/1;946;56;26;3561;11,15131579;23,42763158
311;2741;19;2821;152;POINT (37.560842 55.697692);12;Ленинский пр-т, д.54;967;34;22;5562;18,55921053;36,59210526
312;3167;22;3233;145;POINT (37.556189 55.694967);12;Ленинский пр-т, д.60/2;1345;42;27;6400;22,29655172;44,13793103
313;1650;11;1696;152;POINT (37.550158 55.691314);12;Ленинский пр-т, д.66;805;47;34;3346;11,15789474;22,01315789
